lat,lng
-36.82311,174.61092
-36.82314,174.61095
-36.82293,174.61131
-36.82286,174.61128
-36.82281,174.61132
-36.8228,174.6114
-36.82281,174.61143
-36.82281,174.61143
-36.82283,174.61147
-36.82261,174.61185
-36.82254,174.61197
-36.82239,174.61226
-36.82227,174.61259
-36.82223,174.61278
-36.8222,174.613
-36.8222,174.61323
-36.82221,174.61345
-36.82215,174.61346
-36.82221,174.61345
-36.82222,174.61363
-36.82225,174.6138
-36.82233,174.61403
-36.82245,174.61425
-36.82259,174.61443
-36.82285,174.61463
-36.82305,174.61474
-36.82318,174.61479
-36.82401,174.61514
-36.82456,174.61537
-36.82454,174.61544
-36.82456,174.61536
-36.8247,174.61542
-36.82482,174.61545
-36.82511,174.61543
-36.82579,174.61516
-36.82601,174.61511
-36.82622,174.61508
-36.82658,174.61509
-36.82692,174.61512
-36.82718,174.6152
-36.82733,174.6153
-36.82731,174.61534
-36.82733,174.6153
-36.82748,174.6154
-36.82769,174.61561
-36.82781,174.61569
-36.82795,174.61578
-36.82809,174.61584
-36.82836,174.61588
-36.82926,174.61589
-36.82969,174.61596
-36.83009,174.61596
-36.83026,174.61594
-36.83061,174.61586
-36.83061,174.61592
-36.83061,174.61586
-36.83083,174.61582
-36.83119,174.61574
-36.8315,174.61565
-36.83171,174.61561
-36.83188,174.61713
-36.83183,174.61714
-36.83188,174.61713
-36.83191,174.61732
-36.83192,174.61782
-36.8319,174.61838
-36.8322,174.61838
-36.833,174.6184
-36.83337,174.61841
-36.83373,174.61841
-36.83409,174.61837
-36.83539,174.61823
-36.83539,174.6183
-36.83539,174.6183
-36.83539,174.61823
-36.83548,174.61822
-36.8358,174.61815
-36.83634,174.61792
-36.83659,174.61785
-36.83681,174.6178
-36.83706,174.61769
-36.8376,174.61734
-36.83962,174.61996
-36.83974,174.6201
-36.8397,174.62015
-36.83974,174.6201
-36.83979,174.62016
-36.83994,174.62032
-36.84014,174.62052
-36.84018,174.62056
-36.84027,174.62063
-36.84032,174.62066
-36.84041,174.62073
-36.84046,174.62076
-36.84055,174.62082
-36.8406,174.62084
-36.8407,174.6209
-36.84078,174.62094
-36.84127,174.62117
-36.84137,174.62122
-36.84143,174.62126
-36.8415,174.62131
-36.8416,174.62138
-36.8417,174.62147
-36.8418,174.62156
-36.84186,174.62162
-36.84192,174.62169
-36.84197,174.62174
-36.84201,174.62179
-36.84204,174.62183
-36.84269,174.62272
-36.84317,174.62338
-36.84315,174.62341
-36.84317,174.62338
-36.84368,174.62407
-36.84384,174.62429
-36.84416,174.62472
-36.84418,174.62478
-36.8442,174.62482
-36.84421,174.62485
-36.84423,174.62488
-36.84424,174.62492
-36.84426,174.62497
-36.84426,174.62499
-36.84427,174.62501
-36.84428,174.62503
-36.8443,174.62504
-36.84431,174.62505
-36.84432,174.62505
-36.84433,174.62506
-36.84437,174.62507
-36.84438,174.62508
-36.8444,174.6251
-36.84443,174.62515
-36.84447,174.62519
-36.8445,174.62523
-36.84461,174.62534
-36.84462,174.62534
-36.84465,174.62538
-36.84463,174.62541
-36.84465,174.62538
-36.84501,174.62577
-36.84539,174.62608
-36.84564,174.62624
-36.84623,174.62656
-36.84715,174.62704
-36.84774,174.62734
-36.84774,174.62734
-36.84779,174.62737
-36.84848,174.62773
-36.84908,174.62804
-36.84942,174.62823
-36.84971,174.62842
-36.84996,174.62863
-36.85012,174.62879
-36.85052,174.62925
-36.85064,174.6294
-36.85066,174.62945
-36.85063,174.62948
-36.85066,174.62945
-36.85081,174.62968
-36.85099,174.63002
-36.85099,174.63002
-36.8511,174.63023
-36.85115,174.63044
-36.85116,174.63053
-36.85116,174.63053
-36.85117,174.63062
-36.85115,174.63073
-36.85109,174.63086
-36.85092,174.63101
-36.85074,174.63115
-36.85039,174.63143
-36.85011,174.63156
-36.84991,174.63162
-36.84964,174.63166
-36.8494,174.63167
-36.84904,174.63162
-36.84847,174.63156
-36.84847,174.63156
-36.8483,174.63154
-36.84775,174.63149
-36.84739,174.63145
-36.84733,174.63152
-36.84727,174.63161
-36.84724,174.63179
-36.84724,174.63194
-36.84728,174.63215
-36.84731,174.63225
-36.84731,174.63225
-36.84732,174.63229
-36.84738,174.63239
-36.84748,174.6325
-36.84764,174.6326
-36.84805,174.63281
-36.8482,174.63291
-36.84862,174.63323
-36.84873,174.63335
-36.8491,174.63389
-36.84931,174.63422
-36.84931,174.63422
-36.84962,174.63472
-36.8499,174.63528
-36.8499,174.63528
-36.85332,174.64205
-36.85332,174.64205
-36.85434,174.64406
-36.85473,174.64495
-36.85491,174.64538
-36.85643,174.64945
-36.85722,174.65154
-36.85749,174.65225
-36.85788,174.65332
-36.85788,174.65332
