lon,lat
174.85443,-36.87864
174.85448,-36.87863
174.85444,-36.87848
174.85436,-36.87821
174.85433,-36.87809
174.85428,-36.87793
174.85428,-36.8778
174.85419,-36.87761
174.85413,-36.87732
174.85412,-36.87709
174.85413,-36.8769
174.85421,-36.87652
174.85423,-36.87623
174.85419,-36.8759
174.85375,-36.8744
174.85368,-36.87442
174.85375,-36.8744
174.85368,-36.87416
174.85354,-36.87374
174.85327,-36.87313
174.85294,-36.87237
174.8528,-36.87205
174.85273,-36.87194
174.85264,-36.87184
174.85249,-36.87171
174.85197,-36.87139
174.85081,-36.87068
174.85076,-36.87064
174.85074,-36.87067
174.85076,-36.87064
174.85058,-36.87053
174.85046,-36.87045
174.85033,-36.87037
174.85026,-36.87031
174.85018,-36.87025
174.85013,-36.8702
174.85004,-36.87012
174.84999,-36.87006
174.84992,-36.86997
174.84987,-36.86991
174.84981,-36.86982
174.84932,-36.86903
174.84928,-36.86896
174.84924,-36.86898
174.84927,-36.86896
174.84924,-36.86891
174.84924,-36.86891
174.84916,-36.86879
174.84911,-36.86873
174.84904,-36.86865
174.849,-36.86861
174.84893,-36.86855
174.84887,-36.8685
174.84879,-36.86844
174.84866,-36.86836
174.84864,-36.86835
174.84845,-36.86824
174.84841,-36.86821
174.84823,-36.8681
174.84813,-36.86806
174.84808,-36.86804
174.84803,-36.86802
174.84798,-36.86802
174.84793,-36.86801
174.84761,-36.868
174.84712,-36.86805
174.84633,-36.86815
174.84635,-36.86824
174.84633,-36.86815
174.84631,-36.86816
174.84588,-36.86821
174.84569,-36.86832
174.84562,-36.86835
174.84559,-36.86837
174.84557,-36.86839
174.84555,-36.86841
174.84554,-36.86842
174.84553,-36.86844
174.84552,-36.86846
174.84552,-36.86849
174.8455,-36.8686
174.84554,-36.86874
174.84569,-36.86933
174.84571,-36.86941
174.84572,-36.86948
174.84573,-36.86955
174.84574,-36.86966
174.84574,-36.86973
174.84574,-36.8698
174.84573,-36.8699
174.84572,-36.86997
174.84571,-36.87005
174.84569,-36.87015
174.84567,-36.8702
174.84567,-36.87022
174.84563,-36.87032
174.8456,-36.8704
174.84556,-36.87048
174.84552,-36.87056
174.84548,-36.87063
174.84544,-36.87071
174.84536,-36.87082
174.84531,-36.87089
174.84523,-36.87099
174.84508,-36.87114
174.84494,-36.87128
174.84474,-36.87147
174.84477,-36.87149
174.84474,-36.87147
174.84409,-36.87205
174.84385,-36.87227
174.84378,-36.87234
174.84372,-36.8724
174.84366,-36.87247
174.8436,-36.87254
174.84352,-36.87265
174.84347,-36.87272
174.84342,-36.8728
174.84338,-36.87287
174.84277,-36.87403
174.84264,-36.87425
174.84243,-36.87459
174.84236,-36.87461
174.8423,-36.87463
174.84223,-36.87464
174.84216,-36.87465
174.84209,-36.87465
174.84203,-36.87465
174.84196,-36.87464
174.84188,-36.87462
174.84185,-36.87462
174.84126,-36.87445
174.84074,-36.8743
174.84071,-36.87436
174.84071,-36.87436
174.84074,-36.8743
174.84016,-36.87413
174.83893,-36.87378
174.83856,-36.87367
174.83855,-36.8737
174.83857,-36.87367
174.83812,-36.87355
174.83738,-36.87333
174.83733,-36.87332
174.83726,-36.87331
174.83718,-36.8733
174.83713,-36.87329
174.83609,-36.87321
174.83581,-36.87318
174.8358,-36.87323
174.83581,-36.87318
174.83523,-36.87313
174.83478,-36.8731
174.8345,-36.87307
174.83429,-36.87305
174.83372,-36.87297
174.83371,-36.873
174.83372,-36.87297
174.83345,-36.87294
174.83261,-36.87283
174.83256,-36.87282
174.8325,-36.87281
174.83243,-36.87281
174.83236,-36.87281
174.8323,-36.87282
174.83223,-36.87283
174.83219,-36.87284
174.83214,-36.87286
174.83135,-36.87304
174.83136,-36.87308
174.83135,-36.87304
174.83117,-36.87308
174.82987,-36.87338
174.82965,-36.87343
174.82966,-36.87347
